Jurisdiction,2015 Households Without Vehicles,2016 Households Without Vehicles,2015 Vehicles Per Household,2016 Vehicles Per Household
"Davenport, Iowa",9.50%,7.40%,1.7,1.66
"Davie, Florida",6.50%,3.20%,1.81,1.9
"Dayton, Ohio",22.20%,19.00%,1.32,1.39
"Denton, Texas",4.90%,3.10%,1.78,1.8
"Denver, Colorado",9.60%,9.40%,1.58,1.62
"Des Moines, Iowa",8.50%,9.60%,1.7,1.71
"Detroit, Michigan",25.30%,24.70%,1.13,1.15
"Downey, California",3.70%,2.10%,2.11,2.19
"Durham, North Carolina",9.80%,8.70%,1.56,1.63
"East Los Angeles, California",13.00%,12.00%,1.6,1.75
"El Cajon, California",10.40%,8.60%,1.67,1.73
"El Monte, California",10.20%,8.90%,1.83,2.05
"El Paso, Texas",7.40%,8.40%,1.79,1.82
"Elgin, Illinois",4.80%,5.10%,1.85,1.95
"Elizabeth, New Jersey",28.30%,25.80%,1.08,1.17
"Elk Grove, California",3.40%,1.80%,2.16,2.21
"Enterprise, Nevada",2.20%,4.30%,1.87,1.85
"Escondido, California",8.00%,5.70%,1.88,1.95
"Eugene, Oregon",12.30%,11.60%,1.54,1.64
"Evansville, Indiana",11.70%,11.50%,1.54,1.48
"Everett, Washington",13.20%,11.60%,1.64,1.65
"Fairfield, California",4.80%,7.40%,2.03,2.01
"Fargo, North Dakota",7.00%,8.80%,1.66,1.67
"Fayetteville, North Carolina",8.90%,7.00%,1.65,1.64
"Fontana, California",3.10%,2.70%,2.37,2.27
"Fort Collins, Colorado",4.40%,4.80%,1.89,1.86
"Fort Lauderdale, Florida",8.80%,8.20%,1.45,1.49
"Fort Wayne, Indiana",8.00%,6.00%,1.65,1.69
"Fort Worth, Texas",6.10%,4.80%,1.8,1.83
"Fremont, California",4.50%,5.20%,2.1,2.12
"Fresno, California",11.40%,12.40%,1.64,1.63
"Frisco, Texas",1.10%,2.00%,2.05,2
"Fullerton, California",5.60%,5.50%,1.96,2.02
"Gainesville, Florida",10.40%,11.40%,1.48,1.44
"Garden Grove, California",5.30%,4.60%,2.23,2.19
"Garland, Texas",4.60%,4.40%,1.99,2.04
"Gilbert, Arizona",1.90%,1.70%,2.04,2.08
"Glendale, Arizona",8.40%,9.00%,1.66,1.72
"Glendale, California",11.70%,11.40%,1.65,1.67
"Grand Prairie, Texas",3.80%,3.30%,2.03,2.03
"Grand Rapids, Michigan",12.50%,12.00%,1.51,1.56
"Greeley, Colorado",5.70%,5.80%,1.92,1.92
"Green Bay, Wisconsin",8.60%,8.50%,1.61,1.66
"Greensboro, North Carolina",6.10%,7.30%,1.64,1.61
"Gresham, Oregon",9.80%,8.50%,1.68,1.87
"Hampton, Virginia",6.70%,7.80%,1.75,1.69
"Hartford, Connecticut",30.30%,32.60%,1,0.99
"Hayward, California",6.00%,5.70%,2.08,2.12
"Henderson, Nevada",2.80%,5.00%,1.79,1.74
"Hialeah, Florida",12.60%,12.20%,1.53,1.58
"High Point, North Carolina",8.70%,9.10%,1.65,1.66
"Highlands Ranch, Colorado",2.70%,1.50%,2.07,2.04
"Hillsboro, Oregon",7.60%,5.90%,1.7,1.86
"Hollywood, Florida",11.40%,9.70%,1.52,1.53
"Honolulu, Hawaii",16.60%,17.20%,1.4,1.4
"Houston, Texas",8.30%,8.10%,1.58,1.59
"Huntington Beach, California",2.60%,2.20%,1.98,1.99
"Huntsville, Alabama",6.60%,6.30%,1.68,1.7
"Independence, Missouri",7.50%,5.80%,1.7,1.7
"Indianapolis, Indiana",10.50%,8.70%,1.54,1.63
"Inglewood, California",9.80%,9.80%,1.63,1.69
"Irvine, California",5.00%,4.00%,1.77,1.83
"Irving, Texas",4.50%,4.90%,1.72,1.75
"Jackson, Mississippi",11.00%,7.60%,1.6,1.68
"Jacksonville, Florida",8.30%,8.70%,1.62,1.62
"Jersey City, New Jersey",40.10%,37.10%,0.81,0.85
"Joliet, Illinois",7.20%,6.60%,1.83,1.91
"Jurupa Valley, California",4.80%,4.90%,2.39,2.32
"Kansas City, Kansas",10.10%,8.60%,1.78,1.72
"Kansas City, Missouri",11.40%,11.30%,1.55,1.58
"Kent, Washington",7.00%,8.70%,1.98,1.85
"Killeen, Texas",6.30%,6.20%,1.72,1.79
"Knoxville, Tennessee",9.70%,11.30%,1.57,1.59
"Lafayette, Louisiana",10.60%,8.00%,1.6,1.6
"Lakeland, Florida",7.00%,5.60%,1.53,1.54
"Lakewood, Colorado",5.50%,6.50%,1.85,1.84
"Lancaster, California",9.60%,7.70%,1.78,1.77
"Lansing, Michigan",12.60%,13.40%,1.41,1.45
"Laredo, Texas",6.50%,5.90%,1.87,1.85
"Las Cruces, New Mexico",6.10%,8.20%,1.75,1.73
"Las Vegas, Nevada",10.20%,10.50%,1.62,1.63
"League City, Texas",2.60%,1.00%,2.04,2.15
"Lehigh Acres, Florida",3.50%,4.20%,1.85,1.81
"Lewisville, Texas",4.10%,4.30%,1.76,1.78
"Lexington, Kentucky",7.20%,7.40%,1.64,1.7
"Lincoln, Nebraska",6.30%,5.80%,1.74,1.78
"Little Rock, Arkansas",8.20%,8.90%,1.59,1.58
"Long Beach, California",10.40%,10.10%,1.64,1.69
"Los Angeles, California",12.10%,12.20%,1.59,1.62
"Louisville/Jefferson County, Kentucky",11.70%,10.90%,1.6,1.61
"Lowell, Massachusetts",17.60%,16.90%,1.35,1.52
"Lubbock, Texas",7.30%,5.60%,1.67,1.74
"Macon-Bibb County, Georgia",13.20%,13.30%,1.55,1.6
"Madison, Wisconsin",11.20%,11.20%,1.51,1.5
"Manchester, New Hampshire",8.10%,13.50%,1.6,1.56
"McAllen, Texas",6.90%,7.60%,1.72,1.72
"McKinney, Texas",3.80%,2.40%,1.89,1.95
"Memphis, Tennessee",11.80%,12.50%,1.49,1.47
"Mesa, Arizona",7.40%,6.80%,1.67,1.78
"Mesquite, Texas",4.70%,3.70%,1.92,1.96
"Metairie, Louisiana",6.30%,7.20%,1.6,1.6
"Miami Gardens, Florida",6.50%,5.30%,1.75,1.71
"Miami, Florida",19.90%,18.60%,1.19,1.24
"Midland, Texas",5.70%,3.70%,2.05,1.93
"Milwaukee, Wisconsin",17.90%,18.70%,1.3,1.34
"Minneapolis, Minnesota",18.20%,17.10%,1.33,1.35
"Miramar, Florida",2.50%,2.30%,1.97,2
"Mobile, Alabama",9.70%,8.30%,1.6,1.65
"Modesto, California",8.10%,7.20%,1.82,1.86
"Montgomery, Alabama",8.50%,11.00%,1.68,1.62
"Moreno Valley, California",5.00%,2.90%,2.22,2.32
"Murfreesboro, Tennessee",3.80%,3.80%,1.82,1.96
"Murrieta, California",3.50%,0.70%,2.12,2.36
"Naperville, Illinois",3.30%,4.40%,1.89,1.91
"Nashville-Davidson, Tennessee",7.90%,5.90%,1.66,1.72
"New Haven, Connecticut",30.40%,29.20%,1.01,1.1
"New Orleans, Louisiana",18.80%,20.20%,1.28,1.26
"New York, New York",54.50%,54.40%,0.63,0.63
"Newark, New Jersey",39.20%,40.30%,0.86,0.89
"Newport News, Virginia",9.50%,8.40%,1.63,1.69
"Norfolk, Virginia",10.60%,15.00%,1.58,1.54
"Norman, Oklahoma",7.00%,4.30%,1.83,1.87
"North Charleston, South Carolina",12.70%,10.70%,1.52,1.46
"North Las Vegas, Nevada",7.00%,5.60%,1.84,1.89
"Norwalk, California",4.60%,5.50%,2.21,2.27
"Oakland, California",17.30%,16.70%,1.44,1.45
"Oceanside, California",5.60%,3.60%,1.89,1.92
"Odessa, Texas",4.40%,5.20%,1.83,1.78
"Oklahoma City, Oklahoma",6.00%,5.70%,1.78,1.82
"Olathe, Kansas",4.60%,2.70%,2.01,2.01
"Omaha, Nebraska",8.20%,9.20%,1.68,1.66
"Ontario, California",4.60%,3.90%,2.04,2.15
"Orange, California",3.70%,5.00%,2.12,2.16
"Orlando, Florida",9.40%,8.20%,1.45,1.5
"Overland Park, Kansas",3.90%,3.20%,1.85,1.85
"Oxnard, California",4.30%,4.60%,2.2,2.1
"Palm Bay, Florida",6.20%,3.00%,1.6,1.75
"Palmdale, California",8.10%,5.60%,1.95,2.02
"Paradise, Nevada",15.20%,15.40%,1.41,1.5
"Pasadena, California",9.70%,11.40%,1.62,1.54
"Pasadena, Texas",5.80%,5.70%,1.78,1.88
"Paterson, New Jersey",33.60%,33.00%,1.05,1
"Pearland, Texas",2.40%,1.40%,1.99,2.18
"Pembroke Pines, Florida",6.00%,4.30%,1.83,1.83
"Peoria, Arizona",5.60%,4.50%,1.85,1.91
"Peoria, Illinois",16.50%,15.40%,1.44,1.45
"Philadelphia, Pennsylvania",31.10%,29.50%,1.03,1.05
"Phoenix, Arizona",9.10%,8.40%,1.66,1.71
"Pittsburgh, Pennsylvania",23.90%,23.40%,1.18,1.16
"Plano, Texas",2.80%,2.40%,1.9,1.93
"Pomona, California",6.50%,5.30%,2.07,2.27
"Pompano Beach, Florida",7.80%,7.50%,1.49,1.44
"Port St. Lucie, Florida",3.60%,2.60%,1.76,1.79
"Portland, Oregon",14.70%,13.70%,1.49,1.49
"Providence, Rhode Island",21.70%,18.00%,1.21,1.27
"Provo, Utah",3.90%,4.50%,2.11,2.17
"Pueblo, Colorado",12.00%,8.10%,1.63,1.67
"Raleigh, North Carolina",5.30%,6.00%,1.69,1.74
"Rancho Cucamonga, California",2.70%,3.00%,2.15,2.12
"Reno, Nevada",10.00%,10.80%,1.64,1.73
"Renton, Washington",5.50%,6.00%,1.78,1.87
"Rialto, California",6.50%,4.50%,2.22,2.22
"Richardson, Texas",3.70%,3.70%,1.91,1.84
"Richmond, California",11.70%,8.10%,1.68,1.89
"Richmond, Virginia",16.40%,18.00%,1.39,1.42
"Riverside, California",5.40%,5.30%,2.05,2.04
"Rochester, Minnesota",7.80%,8.90%,1.68,1.68
"Rochester, New York",26.80%,26.50%,1.1,1.14
"Rockford, Illinois",11.90%,13.40%,1.54,1.46
"Roseville, California",6.10%,4.20%,1.87,1.95
"Round Rock, Texas",2.80%,2.70%,1.93,1.99
"Sacramento, California",10.00%,8.60%,1.61,1.65
"Salem, Oregon",8.30%,7.00%,1.7,1.71
"Salinas, California",6.00%,5.80%,1.96,2.09
"Salt Lake City, Utah",10.60%,10.60%,1.6,1.62
"San Angelo, Texas",8.20%,6.10%,1.64,1.66
"San Antonio, Texas",8.40%,8.30%,1.68,1.71
"San Bernardino, California",11.70%,11.10%,1.71,1.8
"San Buenaventura, California",7.20%,6.10%,1.85,1.91
"San Diego, California",6.60%,6.30%,1.76,1.8
"San Francisco, California",31.20%,29.90%,1.07,1.1
"San Jose, California",5.50%,5.10%,2.07,2.12
"San Mateo, California",5.20%,5.10%,1.84,1.87
"Sandy Springs, Georgia",6.90%,7.60%,1.57,1.57
"Santa Ana, California",7.30%,5.70%,2.21,2.25
"Santa Clara, California",6.00%,5.80%,1.87,1.81
"Santa Clarita, California",4.00%,3.70%,2.06,2.15
"Santa Maria, California",6.20%,5.50%,2,1.98
"Santa Rosa, California",5.30%,6.20%,1.86,1.88
"Savannah, Georgia",13.90%,13.70%,1.45,1.43
"Scottsdale, Arizona",4.40%,4.50%,1.67,1.7
"Seattle, Washington",16.60%,17.10%,1.4,1.39
"Shreveport, Louisiana",11.00%,13.60%,1.53,1.5
"Simi Valley, California",2.30%,4.10%,2.26,2.29
"Sioux Falls, South Dakota",6.60%,5.60%,1.79,1.82
"South Bend, Indiana",12.50%,13.60%,1.44,1.43
"Spokane, Washington",10.90%,9.40%,1.68,1.66
"Spring Hill, Florida",3.90%,4.70%,1.65,1.75
"Spring Valley, Nevada",6.10%,5.20%,1.64,1.62
"Springfield, Illinois",11.90%,10.60%,1.52,1.52
"Springfield, Massachusetts",20.80%,22.20%,1.31,1.26
"Springfield, Missouri",9.70%,9.30%,1.56,1.56
"St. Louis, Missouri",19.70%,18.50%,1.25,1.27
"St. Paul, Minnesota",13.30%,13.50%,1.52,1.52
"St. Petersburg, Florida",9.60%,9.30%,1.49,1.52
"Stamford, Connecticut",11.00%,8.90%,1.67,1.63
"Sterling Heights, Michigan",5.10%,4.20%,1.85,1.89
"Stockton, California",10.50%,10.80%,1.8,1.83
"Sunnyvale, California",5.60%,4.90%,1.83,1.78
"Sunrise Manor, Nevada",11.00%,11.80%,1.6,1.66
"Surprise, Arizona",2.40%,1.30%,1.87,1.87
"Syracuse, New York",26.40%,29.20%,1.09,1.08
"Tacoma, Washington",9.70%,9.30%,1.71,1.7
"Tallahassee, Florida",8.40%,6.90%,1.54,1.65
"Tampa, Florida",11.40%,10.10%,1.48,1.49
"Temecula, California",1.00%,2.00%,2.24,2.25
"Tempe, Arizona",11.10%,9.40%,1.57,1.65
"The Woodlands, Texas",3.30%,4.10%,1.97,1.9
"Thornton, Colorado",3.50%,3.00%,2.1,2.14
"Thousand Oaks, California",3.30%,3.20%,2.07,2.09
"Toledo, Ohio",14.70%,13.30%,1.45,1.43
"Topeka, Kansas",9.70%,12.40%,1.57,1.52
"Torrance, California",5.40%,5.20%,1.91,1.95
"Tucson, Arizona",14.40%,11.70%,1.49,1.54
"Tulsa, Oklahoma",9.30%,8.80%,1.63,1.62
"Tyler, Texas",6.70%,6.40%,1.61,1.63
"Vallejo, California",9.00%,7.60%,1.94,2.01
"Vancouver, Washington",5.50%,7.60%,1.72,1.75
"Victorville, California",6.50%,6.60%,1.92,1.95
"Virginia Beach, Virginia",4.90%,3.40%,1.93,1.98
"Visalia, California",6.90%,5.90%,1.75,1.84
"Vista, California",3.10%,3.30%,2.15,2.14
"Waco, Texas",8.70%,8.80%,1.62,1.67
"Warren, Michigan",7.80%,7.20%,1.65,1.73
"Washington, District of Columbia",36.20%,37.30%,0.89,0.86
"Waterbury, Connecticut",20.40%,20.60%,1.36,1.32
"West Covina, California",4.10%,5.20%,2.3,2.22
"West Jordan, Utah",1.90%,1.30%,2.14,2.3
"West Palm Beach, Florida",8.60%,10.40%,1.46,1.43
"West Valley City, Utah",5.00%,4.30%,2.16,2.1
"Westminster, Colorado",5.90%,4.60%,1.96,1.91
"Wichita Falls, Texas",8.70%,6.80%,1.75,1.63
"Wichita, Kansas",7.70%,6.70%,1.73,1.8
"Wilmington, North Carolina",10.10%,8.50%,1.63,1.56
"Winston-Salem, North Carolina",11.30%,9.90%,1.63,1.68
"Worcester, Massachusetts",19.60%,19.30%,1.3,1.3
"Yonkers, New York",24.60%,23.50%,1.26,1.25
